,model,age,engineSize,price,Automatic,Manual,Semi-Auto,Diesel,Petrol
289, Rapid,1,1.0,9498,0,1,0,0,1
290, Fabia,4,1.2,7895,0,1,0,0,1
291, Kodiaq,2,2.0,20790,1,0,0,1,0
292, Octavia,1,1.0,12998,0,0,1,0,1
293, Fabia,1,1.0,10112,0,1,0,0,1
294, Octavia,1,1.6,14750,0,0,1,1,0
295, Octavia,1,1.0,14937,0,0,1,0,1
296, Fabia,1,1.0,10207,0,1,0,0,1
297, Fabia,1,1.0,10216,0,1,0,0,1
298, Kodiaq,1,2.0,25971,1,0,0,0,1
299, Kodiaq,1,2.0,25226,0,1,0,1,0
300, Fabia,1,1.0,11998,0,1,0,0,1
301, Octavia,1,2.0,24698,0,0,1,0,1
302, Scala,1,1.6,18498,0,0,1,1,0
303, Fabia,1,1.0,14298,0,1,0,0,1
304, Fabia,1,1.0,14499,0,1,0,0,1
305, Superb,1,2.0,26000,0,0,1,0,1
306, Octavia,0,2.0,21000,0,1,0,1,0
307, Yeti,7,2.0,8000,0,1,0,1,0
308, Karoq,1,2.0,30000,0,1,0,1,0
309, Octavia,1,1.0,16500,0,1,0,0,1
310, Scala,1,1.5,18000,0,0,1,0,1
311, Superb,1,1.5,17498,0,0,1,0,1
312, Octavia,5,2.0,9498,0,1,0,1,0
313, Kodiaq,3,2.0,19498,1,0,0,1,0
314, Fabia,4,1.2,9655,0,1,0,0,1
315, Octavia,3,1.4,11903,0,1,0,0,1
316, Citigo,4,1.0,5967,0,1,0,0,1
317, Kodiaq,1,2.0,24798,1,0,0,1,0
318, Superb,1,2.0,18498,0,1,0,1,0
319, Fabia,3,1.2,8600,0,1,0,0,1
320, Fabia,4,1.0,5998,0,1,0,0,1
321, Kodiaq,1,2.0,25998,0,1,0,1,0
322, Octavia,3,1.6,10498,0,1,0,1,0
323, Octavia,1,1.0,12798,0,0,1,0,1
324, Yeti Outdoor,3,1.2,12998,0,0,1,0,1
325, Octavia,6,2.0,8498,0,1,0,1,0
326, Octavia,4,2.0,10498,0,1,0,1,0
327, Superb,1,1.5,16498,0,1,0,0,1
328, Octavia,1,2.0,17998,0,0,1,0,1
329, Octavia,1,2.0,18498,0,0,1,1,0
330, Kodiaq,3,1.4,23498,1,0,0,0,1
331, Octavia,1,2.0,23998,0,0,1,0,1
332, Superb,4,2.0,11698,0,0,1,1,0
333, Karoq,1,2.0,18222,0,1,0,1,0
334, Octavia,1,2.0,19785,1,0,0,0,1
335, Superb,0,2.0,29874,0,0,1,0,1
336, Scala,0,1.6,16957,0,1,0,1,0
337, Karoq,0,1.0,19541,0,1,0,0,1
338, Superb,0,2.0,31736,0,0,1,1,0
339, Octavia,0,2.0,19819,0,0,1,1,0
340, Superb,1,1.6,21998,0,0,1,1,0
341, Superb,4,2.0,12998,0,1,0,1,0
342, Yeti Outdoor,3,2.0,12789,0,1,0,1,0
